Title,Subtitle,Content
Not Available,Rates and Returns,"The candidate should be able to: 1.  interpret interest rates as required rates of return, discount rates, or opportunity costs and explain an interest rate as the sum of a real risk-free rate and premiums that compensate investors for bearing distinct types of risk 2.  calculate and interpret different approaches to return measurement over time and describe their appropriate uses 3.  compare the money-weighted and time-weighted rates of return and evaluate the performance of portfolios based on these measures 4.  calculate and interpret annualized return measures and continuously compounded returns, and describe their appropriate uses 5.  calculate and interpret major return measures and describe their appropriate uses"
Not Available,Time Value of Money in Finance,"The candidate should be able to: 1.  calculate and interpret the present value (PV) of fixed-income and equity instruments based on expected future cash flows 2.  calculate and interpret the implied return of fixed-income instruments and required return and implied growth of equity instruments given the present value (PV) and cash flows 3.  explain the cash flow additivity principle, its importance for the no-arbitrage condition, and its use in calculating implied forward interest rates, forward exchange rates, and option values 2024 Level I Topic Outlines"
Not Available,Statistical Measures of Asset Returns,"The candidate should be able to: 1.  calculate, interpret, and evaluate measures of central tendency and location to address an investment problem 2.  calculate, interpret, and evaluate measures of dispersion to address an investment problem 3.  interpret and evaluate measures of skewness and kurtosis to address an investment problem 4.  interpret correlation between two variables to address an investment problem"
Not Available,Probability Trees and Conditional Expectations,"The candidate should be able to: 1.  calculate expected values, variances, and standard deviations and demonstrate their application to investment problems 2.  formulate an investment problem as a probability tree and explain the use of conditional expectations in investment application 3.  calculate and interpret an updated probability in an investment setting using Bayes' formula"
Not Available,Portfolio Mathematics,"The candidate should be able to: 1.  calculate and interpret the expected value, variance, standard deviation, covariances, and correlations of portfolio returns 2.  calculate and interpret the covariance and correlation of portfolio returns using a joint probability function for returns 3.  define shortfall risk, calculate the safety-first ratio, and identify an optimal portfolio using Roy's safety-first criterion"
Not Available,Simulation Methods,The candidate should be able to: 1.  explain the relationship between normal and lognormal distributions and why the lognormal distribution is used to model asset prices when using continuously compounded asset returns 2.  describe Monte Carlo simulation and explain how it can be used in investment applications 3.  describe the use of bootstrap resampling in conducting a simulation based on observed data in investment applications
Not Available,Estimation and Inference,"The candidate should be able to: 1.  compare and contrast simple random, stratified random, cluster, convenience, and judgmental sampling and their implications for sampling error in an investment problem 2.  explain the central limit theorem and its importance for the distribution and standard error of the sample mean 3.  describe the use of resampling (bootstrap, jackknife) to estimate the sampling distribution of a statistic"
Not Available,Hypothesis Testing,"The candidate should be able to: 1.  explain hypothesis testing and its components, including statistical significance, Type I and Type II errors, and the power of a test. 2.  construct hypothesis tests and determine their statistical significance, the associated Type I and Type II errors, and power of the test given a significance level 3.  compare and contrast parametric and nonparametric tests, and describe situations where each is the more appropriate type of test"
Not Available,Parametric and Non-Parametric Tests of Independence,"The candidate should be able to: 1.  explain parametric and nonparametric tests of the hypothesis that the population correlation coefficient equals zero, and determine whether the hypothesis is rejected at a given level of significance 2.  explain tests of independence based on contingency table data"
Not Available,Simple Linear Regression,"The candidate should be able to: 1.  describe a simple linear regression model, how the least squares criterion is used to estimate regression coefficients, and the interpretation of these coefficients 2.  explain the assumptions underlying the simple linear regression model, and describe how residuals and residual plots indicate if these assumptions may have been violated 3.  calculate and interpret measures of fit and formulate and evaluate tests of fit and of regression coefficients in a simple linear regression 4.  describe the use of analysis of variance (ANOVA) in regression analysis, interpret ANOVA results, and calculate and interpret the standard error of estimate in a simple linear regression 5.  calculate and interpret the predicted value for the dependent variable, and a prediction interval for it, given an estimated linear regression model and a value for the independent variable 6.  describe different functional forms of simple linear regressions"
Not Available,Introduction to Big Data Techniques,"The candidate should be able to: 1.  describe aspects of ""fintech"" that are directly relevant for the gathering and analyzing of financial data. 2.  describe Big Data, artificial intelligence, and machine learning 3.  describe applications of Big Data and Data Science to investment management"
Economics,The Firm and Market Structures,"The candidate should be able to: 1.  determine and interpret breakeven and shutdown points of production, as well as how economies and diseconomies of scale affect costs under perfect and imperfect competition 2.  describe characteristics of perfect competition, monopolistic competition, oligopoly, and pure monopoly 3.  explain supply and demand relationships under monopolistic competition, including the optimal price and output for firms as well as pricing strategy 4.  explain supply and demand relationships under oligopoly, including the optimal price and output for firms as well as pricing strategy 5.  identify the type of market structure within which a firm operates and describe the use and limitations of concentration measures"
Economics,Understanding Business Cycles,"The candidate should be able to: 1.  describe the business cycle and its phases 2.  describe credit cycles 3.  describe how resource use, consumer and business activity, housing sector activity, and external trade sector activity vary over the business cycle and describe their measurement using economic indicators"
Economics,Fiscal Policy,"The candidate should be able to: 1.  compare monetary and fiscal policy 2.  describe roles and objectives of fiscal policy as well as arguments as to whether the size of a national debt relative to GDP matters 3.  describe tools of fiscal policy, including their advantages and disadvantages 4.  explain the implementation of fiscal policy and difficulties of implementation as well as whether a fiscal policy is expansionary or contractionary"
Economics,Monetary Policy,"The candidate should be able to: 1.  describe the roles and objectives of central banks 2.  describe tools used to implement monetary policy tools and the monetary transmission mechanism, and explain the relationships between monetary policy and economic growth, inflation, interest, and exchange rates 3.  describe qualities of effective central banks; contrast their use of inflation, interest rate, and exchange rate targeting in expansionary or contractionary monetary policy; and describe the limitations of monetary policy 4.  explain the interaction of monetary and fiscal policy"
Economics,Introduction to Geopolitics,"The candidate should be able to: 1.  describe geopolitics from a cooperation versus competition perspective 2.  describe geopolitics and its relationship with globalization 3.  describe functions and objectives of the international organizations that facilitate trade, including the World Bank, the International Monetary Fund, and the World Trade Organization 4.  describe geopolitical risk 5.  describe tools of geopolitics and their impact on regions and economies 6.  describe the impact of geopolitical risk on investments"
Economics,International Trade,"The candidate should be able to: 1.  describe the benefits and costs of international trade 2.  compare types of trade restrictions, such as tariffs, quotas, and export subsidies, and their economic implications 3.  explain motivations for and advantages of trading blocs, common markets, and economic unions"
Economics,Capital Flows and the FX Market,"The candidate should be able to: 1.  describe the foreign exchange market, including its functions and participants, distinguish between nominal and real exchange rates, and calculate and interpret the percentage change in a currency relative to another currency 2.  describe exchange rate regimes and explain the effects of exchange rates on countries' international trade and capital flows 3.  describe common objectives of capital restrictions imposed by governments"
Economics,Exchange Rate Calculations,"The candidate should be able to: 1.  calculate and interpret currency cross-rates 2.  explain the arbitrage relationship between spot and forward exchange rates and interest rates, calculate a forward rate using points or in percentage terms, and interpret a forward discount or premium"
Portfolio Management,Portfolio Risk and Return: Part I,"The candidate should be able to: 1.  describe characteristics of the major asset classes that investors consider in forming portfolios 2.  explain risk aversion and its implications for portfolio selection 3.  explain the selection of an optimal portfolio, given an investor's utility (or risk aversion) and the capital allocation line 4.  calculate and interpret the mean, variance, and covariance (or correlation) of asset returns based on historical data 5.  calculate and interpret portfolio standard deviation 6.  describe the effect on a portfolio's risk of investing in assets that are less than perfectly correlated 7.  describe and interpret the minimum-variance and efficient frontiers of risky assets and the global minimum-variance portfolio"
Portfolio Management,Portfolio Risk and Return: Part II,"The candidate should be able to: 1.  describe the implications of combining a risk-free asset with a portfolio of risky assets 2.  explain the capital allocation line (CAL) and the capital market line (CML) 3.  explain systematic and nonsystematic risk, including why an investor should not expect to receive additional return for bearing nonsystematic risk 4.  explain return generating models (including the market model) and their uses 5.  calculate and interpret beta 6.  explain the capital asset pricing model (CAPM), including its assumptions, and the security market line (SML) 7.  calculate and interpret the expected return of an asset using the CAPM 8.  describe and demonstrate applications of the CAPM and the SML 9.  calculate and interpret the Sharpe ratio, Treynor ratio, M 2 , and Jensen's alpha"
Portfolio Management,Portfolio Management: An Overview,The candidate should be able to: 1.  describe the portfolio approach to investing 2.  describe the steps in the portfolio management process 3.  describe types of investors and distinctive characteristics and needs of each 4.  describe defined contribution and defined benefit pension plans 5.  describe aspects of the asset management industry 6.  describe mutual funds and compare them with other pooled investment products
